      Input: P
info: HeatingDaemon.HeatingAdapter[0]
      Passive Elster Telegrams:
        38861x  RemoteControl ->Write on ComfortSoft FEHLERMELDUNG 20805 (0x5145)
        6924x  Boiler ->Write on HeatingModule_Broadcast AUSSENTEMP -0.3
        6741x  Boiler ->Write on HeatingModule_Broadcast HILFSKESSELSOLL 24.1
        3741x  HeatingModule ->Respond on Manager SOFTWARE_NUMMER 67 (0x0043)
        3709x  Boiler ->Respond on FES_COMFORT AUSSENTEMP -0.3
        3702x  Boiler ->Respond on FES_COMFORT RUECKLAUFISTTEMP 23.7
        3691x  Boiler ->Respond on FES_COMFORT SPEICHERISTTEMP 28.1
        3651x  Manager ->Write on HeatingModule SPEICHERBEDARF 512 (0x0200)
        3502x  HeatingModule ->Respond on Manager WPVORLAUFIST 40.4
        3502x  HeatingModule ->Respond on Manager RUECKLAUFISTTEMP 32.4
        3320x  Manager ->Write on HeatingModule MATERIALNUMMER_HIGH 237 (0x00ED)
        3319x  Manager ->Write on HeatingModule INTEGRAL_REGELABWEICHUNG_RELATIV 0 (0x0000)
        3319x  HeatingModule ->Respond on Manager VERDICHTER 55.3
        3200x  FES_COMFORT ->Respond on ExternalDevice PROGRAMMSCHALTER Absenkbetrieb
        2488x  RemoteControl ->Respond on ExternalDevice PROGRAMMSCHALTER Tagbetrieb
        1474x  Boiler ->Write on RemoteControl_Broadcast MAX_HYSTERESE 0
        997x  RemoteControl ->Write on Mixer FEUCHTE 40.8
        921x  RemoteControl ->Write on Mixer RAUMISTTEMP 20.4
        827x  Manager ->Write on HeatingModule_Broadcast MINUTE 7
        644x  Manager ->Write on FES_COMFORT MINUTE 7
        644x  FES_COMFORT ->Write on Manager TEST_OBJEKT_110 1 (0x0001)
        644x  Boiler ->Respond on RemoteControl GERAETE_ID 128-00
        585x  Manager ->Write on FES_COMFORT TEST_OBJEKT_81 1 (0x0001)
        549x  HeatingModule ->Write on Manager VERDAMPFERTEMP -124
        461x  Mixer ->Write on RemoteControl VORLAUFISTTEMP -40.0
        461x  Mixer ->Write on RemoteControl VORLAUFSOLLTEMP -40.0
        349x  Boiler ->Write on RemoteControl_Broadcast RUECKLAUFISTTEMP 23.6
        341x  Boiler ->Write on RemoteControl_Broadcast PUMPENSTATUS 20482
        339x  Boiler ->Write on RemoteControl_Broadcast SPEICHERISTTEMP 27.8
        288x  Boiler ->Write on RemoteControl_Broadcast SAMMEL_RELAISSTATUS 1 (0x0001)
        279x  Boiler ->Write on RemoteControl_Broadcast TEILVORRANG_WW -32768 (0x8000)
        279x  Boiler ->Write on RemoteControl_Broadcast HZK_PUMPE 256 (0x0100)
        278x  RemoteControl ->Write on Mixer VORLAUFSOLLTEMP 24.1
        277x  RemoteControl ->Write on Boiler KESSELSOLLTEMP 24.1
        276x  RemoteControl ->RespondSystem on Boiler INITIALISIERUNG 1
        276x  RemoteControl ->RespondSystem on Mixer INITIALISIERUNG 1
        276x  Mixer ->System on RemoteControl INITIALISIERUNG 1
        276x  RemoteControl ->Write on Mixer MISCHER_ZU 2
        276x  RemoteControl ->Write on Mixer MAX_TEMP_HZK 256.0
        276x  RemoteControl ->Write on Mixer KP 7680 (0x1E00)
        276x  RemoteControl ->Write on Mixer RAUMEINFLUSS 1280 (0x0500)
        276x  RemoteControl ->Write on Mixer VERSTELLTE_RAUMSOLLTEMP 20.2
        276x  Mixer ->Respond on RemoteControl RAUMISTTEMP -40.0
        276x  Mixer ->Respond on RemoteControl VERSTELLTE_RAUMSOLLTEMP -40.0
        276x  Boiler ->Write on RemoteControl_Broadcast AUSSENTEMP -0.3
        276x  Boiler ->Write on RemoteControl_Broadcast SAMMLERISTTEMP -40.0
        276x  Boiler ->Write on RemoteControl_Broadcast GERAETEKONFIGURATION 49 (0x0031)
        276x  Boiler ->Write on RemoteControl_Broadcast SPEICHER_STATUS 2
        276x  Boiler ->Write on RemoteControl_Broadcast MULTIFUNKTION_ISTTEMP 0.0
        276x  Boiler ->Write on RemoteControl_Broadcast FEHLERMELDUNG 0 (0x0000)
        276x  Boiler ->Write on RemoteControl_Broadcast UHRZEIT 11:03
        276x  Boiler ->Write on RemoteControl_Broadcast DATUM 01.02.
        276x  Boiler ->Write on RemoteControl_Broadcast AUSSEN_FROSTTEMP 5.1
        276x  Boiler ->Write on RemoteControl_Broadcast SCHALTFKT_QUELLE_IWS 0 (0x0000)
        276x  Boiler ->Write on RemoteControl_Broadcast SOFTWARE_NUMMER 331 (0x014B)
        275x  RemoteControl ->Write on Boiler MISCHER_ZU 2
        275x  RemoteControl ->Write on Boiler HEIZKREIS_STATUS_PROGSTELL 512 (0x0200)
        256x  Manager ->Write on HeatingModule_Broadcast RUECKLAUFISTTEMP 23.6
        233x  Mixer ->Write on RemoteControl BRENNER 1
        207x  HeatingModule ->Write on Manager BETRIEBSART_WP 4 (0x0004)
        201x  HeatingModule ->Write on Manager ABTAUUNGAKTIV 512 (0x0200)
        194x  Manager ->Write on HeatingModule_Broadcast STUNDE 11
        194x  HeatingModule ->Respond on Manager LZ_VERD_1_HEIZBETRIEB -32.768
        194x  HeatingModule ->Respond on Manager LZ_VERD_2_HEIZBETRIEB 8.588
        194x  HeatingModule ->Respond on Manager LZ_VERD_1_2_HEIZBETRIEB 0.000
        194x  HeatingModule ->Respond on Manager LZ_VERD_1_WW_BETRIEB -32768 (0x8000)
        194x  HeatingModule ->Respond on Manager LZ_VERD_2_WW_BETRIEB 3331 (0x0D03)
        194x  HeatingModule ->Respond on Manager LZ_VERD_1_2_WW_BETRIEB 0 (0x0000)
        194x  HeatingModule ->Respond on Manager LZ_VERD_1_KUEHLBETRIEB -32.768
        194x  HeatingModule ->Respond on Manager LZ_VERD_2_KUEHLBETRIEB 0.092
        194x  HeatingModule ->Respond on Manager LZ_VERD_1_2_KUEHLBETRIEB 0.000
        189x  Manager ->Write on HeatingModule TEILVORRANG_WW 256 (0x0100)
        189x  HeatingModule ->Write on Manager SCHALTFKT_IWS 0 (0x0000)
        185x  Mixer ->Write on RemoteControl FEHLERMELDUNG 0 (0x0000)
        185x  Mixer ->Write on RemoteControl SPEICHER_STATUS 2
        185x  Mixer ->Write on RemoteControl DCF 0
        185x  Mixer ->Write on RemoteControl MISCHER_AUF 0
        185x  Mixer ->Write on RemoteControl MAX_TEMP_KESSEL 35.0
        184x  Boiler ->RespondSystem on RemoteControl INITIALISIERUNG 1
        184x  Manager ->RespondSystem on FES_COMFORT INITIALISIERUNG 1
        184x  FES_COMFORT ->System on Manager INITIALISIERUNG 1
        184x  Manager ->Write on FES_COMFORT SOLAR_KOLLEKTOR_3_I_ANTEIL 0 (0x0000)
        184x  Manager ->Write on FES_COMFORT FATAL_ERROR 0 (0x0000)
        184x  HeatingModule ->Respond on Manager TEST_OBJEKT_215 100 (0x0064)
        183x  HeatingModule ->RespondSystem on Manager INITIALISIERUNG 1
        183x  Manager ->Write on HeatingModule_Broadcast ACCESS_EEPROM 1
        183x  Manager ->Write on HeatingModule_Broadcast GERAETEKONFIGURATION 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast ANFAHRENT 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast SAMMEL_RELAISSTATUS 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast PROGRAMMSCHALTER Absenkbetrieb
        183x  Manager ->Write on HeatingModule_Broadcast ZWISCHENEINSPRITZUNG_ISTTEMP 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast LUEFT_PASSIVKUEHLUNG_UEBER_FORTLUEFTER 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast TAG 1
        183x  Manager ->Write on HeatingModule_Broadcast MONAT 2
        183x  Manager ->Write on HeatingModule_Broadcast JAHR 25
        183x  Manager ->Write on HeatingModule QUELLENPUMPEN_STATUS 0 (0x0000)
